index,text,label
0,a bathroom with a glass shower  sink and white ,0
1,a white white bathroom with circle head towels ,0
2,a kitchen with a glass open door wall one to the window ,0
3,a white  white bus that has no lights on the bookcases ,0
4,a cat looking back seat on the coast with a litterbox ,0
5,a bathroom with a glass shower  sink and toilet and white ,0
6,a group of people standing under computers ,0
7,a man poses with his head leaning up behind look like a group of smoke coming against the back of it ,0
8,a large kitchen with a glass table and stove bottle of wine ,0
9,a kitchen with a grill roll from him ,0
10,a man is hugging a glass of birthday cake ,0
11,a man wind leans into the pack damaged sideways wearing a shirt ,0
12,a bathroom with a mirrors reflection reflection on the walls ,0
13,"a cat stands next to a toilet in a bathroom 
a red train is coming up to get on either way ",0
14,a motorcycle parked on the asphalt with a stop light ,0
15,a woman has a man in the back seat on the motorcycle ,0
16,a couple of sheep are under the plane ,0
17,a bathroom with a mirrors reflection on far over the tank with a bath tub in a bathroom ,0
18,a woman is sitting on his cell phone ,0
19,a kitchen with a grill roll from him ,0
20,a bathroom with a glass shower  sink  toilet  and the lit ,0
21,"a person rides a motorcycle in the bus 
an image of a colorful airplane flying very pink striped seat ",0
22,a bathroom with a glass shower  sink  mirror and toilet ,0
23,a large group of flowers is in the snow ,0
24,a close up of two others are walking in a bus stop covered up ,0
25,a man wearing a paper wrapper inside a black dog staring with his dog in his head before bird sits on sheet other ,0
26,a white toilet sitting nearby ,0
27,a cat is sitting nearby ,0
28,a kitchen with a grill roll from him ,0
29,a group of people walking in the wild ,0
30,a man in a paper looking into his back of it ,0
31,a truck and a mat ,0
32,a woman holds a camera in front of a toilet ,0
33,"a view of a parking desk with two plungers 
a desk with multiple large monitors ",0
34,"a person riding a bike 
a man riding a motorcycle in the water ",0
35,a man wearing an umbrella  standing in front of a suitcase ,0
36,two people sitting on ,0
37,a large jetliner sitting on their scooters  ,0
38,a man on a chair as a man on a bicycle ,0
39,a group of motorcyclists cross front distance from it ,0
40,a bathroom with a picture frame on him ,0
41,a man sitting on the coast with people on the water ,0
42,"a small bathroom with two towels hanging on the sink of it 
a kitchen with a shelf area ",0
43,a bathroom with a beige wooden floor ,0
44,"a table topped with pots 
a bathroom with a glass shower  sink  toilet and sink ",0
45,a woman wearing a glass is sitting on a cupboard ,0
46,a group of men talking ,0
47,a kitchen area with matching yellow tone area ,0
48,a white stove top open from a wood oven ,0
49,a dog peeking out ,0
50,a woman is laying on his side with three photograph ,0
51,two men s standing under a commercial airplane ,0
52,a woman is working in the mirror looking out off ,0
53,"a kitchen filled with pans  oranges in it 
a bathroom that is clean the tub near the base with the cupboard into a mirror  and a shower ",0
54,a man flying a kite with a red truck parked by a river ,0
55,a man standing on the coast with people in a field with a lap between a sky ,0
56,a bathroom with a glass shower  toilet and sink ,0
57,a long table is holding a banana ,0
58,a bathroom with a mirrors reflection on far up into a tray and cup a banana to it s back on it ,0
59,"a kitchen with white porcelain toilet  open and a glass of wine 
a bathroom with a glass shower  sink and scale ",0
60,a man tinkers with his ear ,0
61,a man and woman also brushes in the background ,0
62,a cat laying on a tub near the wall ,0
63,two people are preparing food from a bar with a red fire wallpaper ,0
64,a person is sitting on a motorcycle next to a motorcycle ,0
65,a valcano from the sun and one view ,0
66,a man and young child stand nearby ,0
67,a man sits at him and tow other people ,0
68,a kitchen with a grill roll from him ,0
69,a woman sitting on a bench talking on a cell phone ,0
70,a woman standing in the basket of a mirror ,0
71,"a man races a ticket 
a woman standing next to a flower bed ",0
72,a man on a bicycle ,0
73,a very large fancy bathroom stall with different fixtures and a maroon rug ,0
74,a beautiful woman sitting on a bench near the road ,0
75,a person riding a motorcycle ,0
