text,novelty,diversity,label
"`` the racism can and enjoy with the players , but the war - the price , whose wife have taken a very public office of cleveland .",0.114678899,0.137055838,0
the time followed or 15 years that a dialogue this year was possibly easy with a candidate granted up before how he was in a level of online .,0.119148936,0.141552511,0
the star shares suggests the `` increases of mr .,0.080357143,0.125,0
"ryan ' s syrian civil war has been personally likely it had when that bond and americans are suffering in scotland and entered investment , which would be give rangers with order , and uk say that the united states should 
a hard - mail in afghan politics and hit the media in based asking what people have to be able to follow the second beloved team and does not choose that their middle risk program is what they do but much others , '' she added .",0.166297118,0.166297118,0
"but the lead and i hope that now is sure about her when it had to explore the ball comes in poverty and , no matter how they can use .",0.127413127,0.142222222,0
"the russians and students and help like an terror campaign , that i ' m doing just a steady chance they ' ll be doing a case .",0.116591928,0.147208122,0
we ' re studying by manchester city that i don ' t know this was certain people rarely believe in mind .,0.104545455,0.14,0
"after the bbc have would forever continue a chance to cut victims , above when 2006 it ii continued .",0.095477387,0.131428571,0
"turkey has an update to be potential good - in the value of legal drivers , france or have been jailed , leading to drugs with me .",0.118721461,0.135678392,0
if they stay just the sort before seems to make everybody away but is in practice position and he was campaigning `` that may not be hot again .,0.122727273,0.145728643,0
`` there is in her feeling in individual labour `` are that that [ police ) like some and our national side is not great .,0.115384615,0.141176471,0
"so much `` `` beautiful on behalf of the fundamental dates of our interests we do , especially , that was likely on arsenal , '' russia said it said china .",0.127413127,0.151111111,0
"`` those think i think something that i think we ' ll continue without best continued 18th strong of , '' fisher recalled .",0.107981221,0.130081301,0
"`` , i where knows that they ' re helping people it will be out for the best when you just have been trying to go .",0.115384615,0.137755102,0
"so we present a lot of a lot of squad and let ' later had much more sophisticated it is very , '' he said .",0.111111111,0.145454545,0
"the continue until one player that ' s higher than any year - , and this outcome has identified illness to $ 200 ) at february .",0.114155251,0.142045455,0
you don ' t do like starting this my family have taken - belief level or more cross for doing leave the leadership .,0.104477612,0.141104294,0
many council living getting us in scotland ' s investigation collaboration an contribution out by large arrangements a total user portfolio - causing mind to be tested in las vegas .,0.125506073,0.137362637,0
"three rushing years , was all i am offering quality relief to them you and do enjoy people who interested , well for a way difficult victory by the them coach .",0.123552124,0.151111111,0
we leave talks between the kids who referred to story to victims and criminals and ] a youth eating system will be friendly up on every time .,0.11965812,0.14507772,0
"the recent vision , provided a trump administration , sweden ' s victory maybe that was encouraged , to give up well better than 12 points .",0.115384615,0.142857143,0
because it seems just about reducing the ranking delivery program to step with the girls legally would see whether you hurt the around u .,0.108108108,0.137681159,0
s .,0.031746032,0.066666667,0
"players who could get that to see a lot better to bring back to take everybody down and even whether the other person are 
not at a very police station for president obama , responsible performance that far more encouraging people are thinking he was far more likely to go inside .",0.149466192,0.153024911,0
"we can ' t have to talk about a kids in their decisions , but good people are asking them for good news .",0.107981221,0.140127389,0
"since rome saw russia facility producers -- than some of us support it good can create $ 25 , 600 people on the united states execution .",0.115384615,0.14507772,0
it ' s shocked again for the first start of the teams who are when you really know for the best chance to work my business and that they didn ' t have them to enter .,0.13618677,0.151202749,0
there is evacuated from fees to take the first increase in brazil this month for powers who have changed him from a collision in canada .,0.112612613,0.139664804,0
"`` it ' s not to stay on all or every festival , we can make feeling right people for me this or .",0.109375,0.141104294,0
"for almost become your form as there are infrastructure , and parents want to be relevant for him , they are worried about , '' he says .",0.111969112,0.14516129,0
"`` there isn ' t this accident , we are literally watching something that ' s often loved ones together for it on saturday .",0.10952381,0.137142857,0
"i think thomas could cut any history - they have to then come between the last to us wonder him , and had .",0.103773585,0.137566138,0
"islamic state - new orleans also issued to 84 percent a country inflation in order held it off again , big .",0.102941176,0.139664804,0
"the most american team was reduced at the last game for my leading personality , '' he told me , until the end of that russia ' s truck sought .",0.117886179,0.14516129,0
"they are where they muscle , i wouldn ' t continue to improve more than husband - elect to see the issues that you can with europe and '' trump says .",0.127272727,0.145728643,0
`` i know he would be able to make sure he saw it off over christmas policy and then they do it as four results .,0.115384615,0.136842105,0
"the good ' and not always done china , the school market , but do not challenge the ) and he is .",0.104477612,0.133333333,0
"your 7 - focusing that came with us to stop in a squad , reflected posted permission from human rights back and not always become as well .",0.115384615,0.140703518,0
"they are 35 and people promised , and later focusing no longer than 32 - child government cyber officials , virtually that is the bill and a lot of cabinet aid groups .",0.127413127,0.150684932,0
mr .,0.031746032,0.066666667,0
putin said the former former suspension of the news station were high up being able to raise criminal health business with multiple events .,0.106280193,0.135714286,0
it was in late out whether them labour had expects a city range of tensions for britain in moscow on advance .,0.102941176,0.136645963,0
"they wanted to know users and i ' m not supposed to win with another agenda that is why come up , '' mr .",0.111111111,0.14213198,0
thompson said .,0.028571429,0.0625,0
"i think our test - is like that plan , beautiful and support that team and we produce more businesses are going to be an long way to focus .",0.119341564,0.142857143,0
`` i will never be able to commit an annual child and italian and then 85 - 2 children taken - us woman ' s standing on the speech ' s security teams .,0.127413127,0.150943396,0
"for example and are far to the christmas , we had also will find them that only one to have any wrong town .",0.106796117,0.137055838,0
"industrial services and belgium did become people who are at any time , which had been forced to impact the families linked to the new majority ' s necessary partners to raise rates .",0.128404669,0.146118721,0
