text,novelty,diversity,label
What this group does is to take down various different websites it believes to be criminal and leading to terrorist acts .,0.778294866,0.762311669,1
"Over 1 , 600 a day have reached Greece this month , a higher rate than last July when the crisis was already in full swing .                                           
""",0.701830102,0.734261049,1
"We ' re working through a legacy period , with legacy products that are 10 or 20 years old ,"" he says .                                                 
'",0.660598077,0.672135001,1
"The first time anyone says you need help , I ' m on the defensive , but that ' s all that I know .",0.472279475,0.510683707,1
"Out of those who came last year , 69 per cent were men , 18 per cent were children and just 13 per cent were women .",0.389176533,0.365186568,1
He has not played for Tottenham ' s first team since and it is now nearly two years since he completed a full Premier League match for the club .,0.59528025,0.685683239,1
So you have this man who seems to represent this way to live and how to be a good citizen of the world .,0.62590914,0.701681304,1
"CNN : You made that promise , but it wasn ' t until 45 years later that you acted on it .",0.684714681,0.702144747,1
This is a part of the population that is notorious for its lack of interest in actually showing up when the political process takes place .,0.712074018,0.771809023,1
They picked him off three times and kept him out of the end zone in a 22 - 6 victory at Arizona in 2013 .,0.700672011,0.69097945,1
"The treatment was going to cost Â£ 12 , 000 , but it was worth it for the chance to be a mum .",0.694391294,0.675721978,1
"But if black political power is so important , why hasn ' t it made more of a difference in the lives of poor black people in Baltimore such as Gray ?",0.716914798,0.737504067,1
"Local media reported the group were not looking to hurt anybody , but they would not rule out violence if police tried to remove them .",0.742126857,0.742689773,1
The idea was that couples got six months ' leave per child with each parent entitled to half the days each .,0.683874846,0.652359048,1
The 55 to 43 vote was largely split down party lines and fell short of the 60 votes needed for the bill to advance .,0.704113342,0.520423693,1
"Taiwan ' s Defence Ministry said it was "" aware of the information ,"" and declined further immediate comment , Reuters reported .",0.675173866,0.713341698,1
I ' m racing against a guy who I lost a medal to - but am I ever going to get that medal back ?,0.435535891,0.449835491,1
"Others pushed back their trips , meaning flights early this week are likely to be even more packed than usual .                                                       
""",0.707185663,0.657806114,1
"In theory there ' s a lot to like ,"" Clinton said , "" but ' in theory ' isn ' t enough .",0.647022892,0.66218643,1
"If he makes it to the next election he ' ll lose , but the other three would have lost just as much .",0.526695484,0.635911601,1
"They have to send the form back , they do not get the option of 25 meetings with 17 ministers to decide what their rate of tax is .",0.272054348,0.706658803,1
"Most candidates who have tried that , however , have ended up failing , as former Vermont Gov .",0.716549762,0.786040084,1
Howard Dean found out .,0.704127923,0.62555371,1
"I read the book , understood it , loved it and talked about it in depth to lots of journalists immediately afterwards .",0.69933422,0.731741899,1
"Even the most forward - thinking among us might be surprised , after stopping to add it up , about just what is going on inside our own homes .",0.683428963,0.692090784,1
"Rock went to a movie theater and asked "" regular people ,"" all of whom appeared to be black , what their favorite film was that year .",0.708521946,0.778558034,1
"He told the Mail : "" I know how much pressure it puts on them to be put under suspicion of a serious crime .",0.576491613,0.656673324,1
He was the third of four managers sent in to cut costs and deal with the city ' s $ 13 million deficit .,0.715937923,0.689741853,1
"He ' s passed all the tests so far , so it ' s all looking good for him to get some game time next week .",0.597022018,0.608271014,1
"Michael Bloomberg , the billionaire former mayor of New York City , has told his aides to draw up plans for an independent campaign for the U .",0,0.262875688,1
S .,0,0.598334082,1
"presidency , the New York Times reported on Saturday .",0.607619125,0.588014998,1
Only because we would take a very different approach when playing Melbourne City which has a lot to do with my belief in winning football matches and the players I have in my team .,0.688031437,0.647755514,1
"Asked about a June date , Ms Sturgeon said : ' I think it would be a mistake for David Cameron , I had the Foreign Secretary in here last week and said as much to him directly .",0.271433755,0.553264637,1
"The children at these camps are usually aged between seven and 15 , and their parents are told that they will not be sent to the front line .",0.686295828,0.609445285,1
South Korea ' s Met Agency considered it ' highly likely ' that the 5 .,0.711994909,0.746222529,1
1 magnitude earthquake was caused by nuclear testing .,0.605009388,0.816906189,1
He will never step off the plane and receive a hero ' s welcome in Brazil because he ran from the country of Brazil .,0.756844997,0.71382397,1
The poll also asks GOP primary voters if there is any candidate they just couldn ' t support against the Democrat in November .,0.58032535,0.563751771,1
"The Irish Football Association received over 50 , 000 ticket applications for Northern Ireland ' s matches at the tournament .",0.661142383,0.73957105,1
How many people on the estate does he think will be affected by the new pay - to - stay policy ?,0.663282316,0.635976634,1
U .,0,0.514889684,1
S .,0,0.598334082,1
stocks rose Thursday as the price of oil climbed for the third day in a row as investors hope for cuts in production .,0.619326669,0.273287114,1
"The force ' s civilian watchdog was also warned that the police and partner authorities had yet to draw up a consistent list of vulnerable sites , according to the private paper , seen by the Press Association .",0.448003977,0.370738878,1
"So , I felt like I could hold onto her a little bit , but you can ' t make it right .",0.516207414,0.501293119,1
"And , while Boston is a city that ' s relatively easy to reach , from May things will get even easier and a little more affordable .",0.697238456,0.718646355,1
