index,text,label
0,"My sources have suggested that so far the company sees no reason to change its tax structures  which are perfectly legal                                                    
",1
1,Sometimes I think about leaving sex work  but because I am alone living costs are really expensive  she said ,1
2,"We would open our main presents after lunch  before the Queen  s speech  then take the dog for a walk                                                  
",1
3,I was then stuck in the house for nearly two years only going out for short periods of time  she said ,1
4,I  d say this is really the first time I  ve had it in my career  how good I feel about my game and knowing where it  s at ,1
5,In only one state  Utah  did more people say they supported giving states control  with 47  of those questioned saying they did and 41  saying they did not ,1
6,There was no immediate claim of responsibility for the attack  but analysts say it appears to be an attempt to prevent peace talks between the nuclear  armed neighbours ,1
7,There  s  definitely a lot of wind  rain and snow  so definitely a significant storm for this time of year  Thompson said ,1
8,Good news  say those who believe that the honour of playing football for a club carrying Liverpool  s history should be reason enough to play  whatever the price ,1
9,We know our customers better than anyone else and we need to make sure that our offer meets their changing needs ,1
10,She tweeted   Long day of press only to find out we  ve officially been kicked out the hotel ,1
11,I was paid far too little to pick up a dead off of the ground and put it back in the box ,1
12,We got to a bus station in the evening  but our connection didn  t leave until the following morning ,1
13,It  s actually something that I had to add  because I was getting really frustrated losing to my hitting partner all the time ,1
14,An estimated 80 million people across 20 states are facing a second day of being effectively trapped inside due to heavy snow and dangerous conditions  which are expected to last until Sunday ,1
15,The 32  year  old reality star gave birth to her and West  s first child together on Saturday  five weeks earlier than expected ,1
16,With some people  when they can  t cycle any more because of their age they push their bike along as a walking frame ,1
17,Her response to the international refugee crisis gave a million refugees hope that they may be able to begin a new life ,1
18,But I still believe it  s a big difference  top 10 for a week or for a year or for multiple years  and getting there is not easy ,1
19,In my family I was always told you never hit a woman  because I had never seen someone as violent as that  it didn  t occur to me to hit back ,1
20,"He has  I gather  convinced Cameron that it is not worth having to fight off multiple challenges from high  profile lawyers                                                
",1
21,All of us can agree that it makes sense to do everything we can to keep guns out of the hands of people who would do others harm  or themselves harm  he said ,1
22,"However one leading education expert has warned that the group  s plans are unlikely to receive the significant investment they would require                                                  
",1
23,I am serious  said the man whose public statements are not always quite as serious as he likes to make out ,1
24,I  ve got a door frame pull  up bar at home and here at the office  so I  ll knock them off any time ,1
25,We  ve only been recording them for the last month or so  but now that word has spread we  re getting daily reports  people finding eight or 10 at a time ,1
26,"The security guard claimed he suffered back pain and shock on his way home later that day and was taken to hospital                                                    
",1
27,In the 1960s people thought it was good to get a house and a car  and we built our new family houses in suburbs around the city  he said ,1
28,She said she could not sleep for more than an hour a night and and barely left the house other than to go to the doctors or the library ,1
29,This is a regime that people supported even at the expense of their own rights in order to defeat terrorism  and yet terrorism attacks today are at an all  time high and we have seen the almost complete destruction of the tourism sector ,1
30,"But the business has been criticised for charging clients  18 an hour when some charities offer a similar service for free                                                    
",1
31,My job is to make sure the science is brought together that we have low risk guidelines in place so that people can take their choices  she said ,1
32,We all have the power to make ourselves present for one another and to say  I see you  I hear you  I  m here ,1
33,Ms Harris added that she hoped the message gets back to the shop worker so she won  t do the same to another customer ,1
34,But these are all things that save me time and that I  m happy to share with other iPhone users ,1
35,If you  re white in America  and you don  t have a problem with race  then race problems don  t frequently find you ,1
36,Colombia  s health ministry has advised women to delay becoming pregnant for six to eight months to avoid possible risks related to the Zika virus ,1
37,You know he  s got the form on the board with the wet tracks  but it  s always in the back of your mind ,1
38,And that is part of what I  m going to Saudi Arabia about  to make sure our friends see clearly how we will go forward on  together  to address those kinds of concerns ,1
39,She said   To those around me I probably looked happy enough but a smile can hide a lot  I happen to have a pretty large smile and I used my smile to hide behind ,1
40,The company didn  t say when everyone with a Facebook account and a smartphone will have an opportunity to broadcast live ,1
41,They added   Our customers and crews deserve to enjoy their flights  and not to suffer any form of abuse ,1
42,But the figures are part of an official internal analysis of the party  s rising membership covering the period since Jeremy Corbyn became leader ,1
43,Other primaries are  closed  which means only card  carrying party members may vote in that party  s primary ,1
44,This was up from 0 ,1
45,4 per cent between July and September  but still meant output rose by just 2 ,1
46,2 per cent across the whole of last year ,1
47,"His son  Lincoln O  Barry  said immigration authorities had turned down his father  s request to visit Japan using a tourist visa                                            
",1
48,Global factors have determined this type of movement  oil prices have been falling consistently now since about November  he said ,1
49,"But you asked a question about propaganda  we will not do that  we will participate directly  we will not finance campaigning organisations in the referendum  we never do                                
",1
50,Young people  of course  can talk much better about social media than people like me can  she says ,1
51,But  if I  m going to finish second  I  d rather finish by nine seconds to Simon rather than one second ,1
52,I won the gold in London four years ago so to try to defend that is another big goal for me ,1
53,We wouldn  t seek to be a police force but  what  has been crucial is we have very close relationships with police forces around the world ,1
54,With more than two inches of rain forecast on Monday and Tuesday  time is not on Australia  s side ,1
55,Obama  s past efforts to pass tough new gun laws  including a massive push in 2013  have failed despite repeated mass shootings ,1
56,The Met has been criticised over delays in its investigation after it emerged officers spoke to Mr Simpson  Kent at the family home on 16 December ,1
57,Her view is that we can ask the wealthy to pay their fair share in taxes and that will cover paid leave ,1
58,"The meeting comes as government figures show that UK air strikes have risen from a monthly average of 29 between May and October last year to more than 80 in December                                  
",1
59,"The only reason this is really appealing and something I really looking forward to is it  s such a short  term contract  he said                                        
",1
60,Right now I don  t mind it  I don  t know what to do  she said of the focus ,1
61,When the Coalition came to power in 2013 it announced it would only fund the first four years of Labor  s six  year school funding deals ,1
62,He hadn  t been seen in public since he reportedly attended a concert with his wife on September 3 ,1
63,I  m sure millions of music fans felt immediately when they learned the news  that David was one of the greatest rock figures ever  a man who always moved forward  challenging the way we thought about music and life ,1
64,Sir Stuart  who is currently vice chief of the defence staff  will take up his new position this summer ,1
65,The post gained nearly 100 comments and at least six women said the same thing had happened to their glass furniture from B  M ,1
66,However  until we have looked further into this specific incident  you will understand we are unable to comment further until an engineer  s report is completed ,1
67,THE escape of two inmates from a disability justice centre has prompted the minister to order an independent review of the controversial facility ,1
68,He may be a good president  in any case he will be much better than the current one as anyone would do a better job ,1
69,"One of the messages I give is stop and slow down and think about where you want your life to go and that takes time  if people don  t accept that  they tend to feel very frustrated with how long it all takes    
",1
70,And that  s why the president once to be sure that the recommendations he has received and the executive actions that he carries out are going to stand up in a court of law ,1
71,The agreement has been widely condemned  with critics claiming that  in effect  Google was paying a 3 per cent rate of tax ,1
72,Costa had gone in hard on Oscar with a tackle and the midfielder responded with an extremely heavy one of his own that caused the pair to square up ,1
73,I can hold my referendum any time up until the end of 2017 and it is much more important to get this right than to rush it ,1
74,The pair were taken to the San Francisco police  s Park Station and will eventually be moved to the city jail ,1
75,He died in January but his body had to be frozen until September while she saved up for the funeral ,1
76,He thinks the public has a right to know exactly who is paying whom and how much  and that the information should be available to the public on the commission website ,1
77,"He  s had three starts this time in and even though the form says 0  5  0 he hasn  t really been disappointing  it  s just been bad barriers and wet tracks                    
",1
78,No woman could get within 100 miles of  Clinton  while I was on watch  he said ,1
79,I can  t turn back the clock  but  I can reach out to his parents which I have done and I can totally understand why they don  t want to talk to me or have anything to do with me ,1
80,As recently as 12 months ago he would come in and sit with the guys in the changing room and wish them all the best  like he had never ever left ,1
81,You don  t really think children get cancer and when you are told your own child has got it  it  s just very hard to deal with ,1
82,A 16  year  old girl had 50 percent of her body burned and remains in a stable but critical condition ,1
83,He said the quick turn around of Australian prime ministers during his six years in the US had caused some concern in Washington  D ,1
84,C ,1
85,I don  t know if it  s because we are all more involved in social media  we are more likely to see and share these things ,1
86,She all but dropped what has been daily criticism of Sanders  past votes on gun measures and his healthcare plan ,1
87,Here  s what you need to know about the outbreak that has put health officials around the world on alert ,1
88,Now  one win removed from his first Super Bowl appearance  he  s playing in the comfort of home ,1
89,And we need voters who want safer gun laws  and who are disappointed in leaders who stand in their way  to remember come election time ,1
90,This has paid off  the proportion of Miami  s students who are foreign is three times the national average ,1
91,We are keen to learn what changes might be made to ensure that the code clearly reflects the standards that the public have the right to expect from their MPs ,1
92,His wife  Kim  is due to have their first child in February and didn  t travel with him ,1
93,More coaches  who are more focused on keeping the game fun and watching players develop skills that help them for life as opposed to winning at all costs  would no doubt help ,1
94,This is the incredible story of how a Greek rescue dog who was taken from the streets to be put to sleep  but ended up making an amazing full recovery ,1
95,"According to the Guardian  Sir Michael said   What we need  because the economy is now so different from when I started teaching  is for more young people to do better than ever before                      
",1
96,We  re not just providing food to people in crisis  we aim to provide the support too by referring people on to other services to help them get back on their feet  she added ,1
97,When it ends up as the second goal  you can imagine the major blow it has to our feelings  our performance and our chances to get through ,1
98,On the one hand  he says there are teams better equipped than Leicester to win the title and admits that qualifying for the Champions League was a goal for another year ,1
99,That  s going to triple  at least  market rent  you  re looking at  600 a week ,1
100,The news came after she faced renewed criticism for her open  door policy  which saw 1 ,1
101,1 million migrants enter the country in 2015 ,1
102,A whole part of the play  you  ll see  came out of my trying to explain to them how that went down ,1
103,The president said it is tough to be deployed overseas  even as the administration has been able to reduce the number of troops serving in places such as Iraq and Afghanistan ,1
104,The letter read   We  re always working to make sure we offer some of the best plans on the market  with great value minutes and data that helps our customers get the most out of their phones ,1
105,"How much time is spent making this schedule is never mentioned but I have no doubt it  s a highly efficient way of doing things                                            
",1
106,The new clinical response model is helping to ensure people get the right care  in the right place  at the right time  he said ,1
107,I  m also excited for her to meet our families and friends  and to have a tiny combination of my husband and me ,1
108,I think he saw in me  a teenager that was very driven  and very interested in what he had created ,1
109,The leadership of the Labour party  under Jeremy Corbyn  has been increasingly critical of Britain  s links with Saudi Arabia ,1
110,If he gets an agreement on his reform demands in February at a summit of EU leaders  a referendum could be held in June ,1
111,"They  re heavy  damaging words to throw at a woman and they cut deeply  no matter who that mother is                                                  
",1
112,Any businesses associated with the NHS should be paying their fair share of tax  she told The Independent ,1
113,Other figures released at the weekend show that Germany is now turning back around 200 immigrants a day at its borders ,1
114,A 21  year  old man is also due to face the same court next month after being charged on January 14 as part of the probe into the alleged ice ring ,1
115,Brazil  which is set to host the Olympics this summer  is the worst  hit nation with around a million feared to be infected ,1
116,You  re in international waters  there are no visa issue and you can get to know each other better ,1
117,Although pupils will receive their test mark on Saturday  they will not know which post  primary school they will transfer to until May or June ,1
118,Then I  ll start teaching it to understand my voice to control everything in our home  music  lights  temperature and so on ,1
119,I think people who like The National go through a similar process with the songs  it often takes them a while to find the ones they really like ,1
120,"David Cameron has made it clear that he would like to stay in the EU  but only under certain conditions                                                      
",1
121,There is no evidence that there is a level of exercise that is dangerous or too much for a normal  healthy person  Thompson told me ,1
122,His comments come after a Dutch television interview on Monday in which he said that more than half of those fleeing to Europe from the Middle East and Africa are economic migrants ,1
123,But now  even many of them must wait until the last  minute before they get the call to first class  if they receive it at all ,1
124,"Once I had taken the photographs  I needed to get back down again  which was always going to be interesting in those conditions                                              
",1
125,However  the scientific field of reading research has discovered a lot about the process of reading over several decades  even over a century  and that knowledge has important implications for these speed reading techniques  she said ,1
126,But to get there  Rubio believes he needs to cut significantly into Cruz  s support in Iowa  a state dominated by social conservatives ,1
127,He is just a real X  factor for them  he is one of those players that does things that other guys can  t do with his short kicking game and his running game ,1
128,Yet the presidential primary process has served America well in the past  and it almost certainly will serve us well this year too ,1
129,One hospital in the city had gone from dealing with an average of five cases a year to 300 in the past six months ,1
130,He has yet to make a statement on the issue but members of his staff have told other US media that he is indeed thinking about running  especially if Mrs Clinton is wounded by her rival Bernie Sanders ,1
131,It  s just January  so we haven  t determined if there will be another season or not ,1
132,However  time online has seen a huge surge according to the research  up 50  from two hours last year ,1
133,But at the end of the day we need another couple of wins  we don  t want to lose the last two ,1
134,South Korean officials have advised pregnant women against traveling to Central and South America and required doctors to immediately report suspected cases ,1
135,"A judge then ordered him detained  but it was already too late  as he and his mother had apparently disappeared                                                    
",1
136,It is also difficult to get a mortgage unless you  re buying with a Polish partner  he added ,1
137,The striker was the centre of headlines the last time these two sides met in the season and he proved so again today ,1
138,On top of this  the group added it was on course to open 70 new stores net in the UK and Ireland this year ,1
139,The reason is simple  he  s running for president  and so am I ,1
140,"And I  m running for president so the votes we take in the Senate matter again                            
",1
141,We realise there is a great deal more work to do to improve our scores  he said in a press statement ,1
142,So if they can reduce that medication  and have a time that is pain  free  that is really valuable quality time for them ,1
143,Rather  he just wanted the student with the least intelligence to know that they too could run for president one day ,1
144,But his legacy is less secure and  as with Tony and New Labour  that is in part down to what has followed him  and his role within it ,1
145,But I want to win  that  s what we play for  that  s what we work for  and I have a very good shot on Sunday if I play my best tennis ,1
146,He told The Sun   I have waited long enough for this  it  ll be a great start to the new year ,1
147,This is the critical part  a lot of snow and people are going to feel  I have to get outside ,1
148,Lincoln  s U ,1
149,S ,1
150,sales rose 7 percent last year  faster than the industry average  it sold more than 100  000 vehicles in the U ,1
151,S ,1
152,for the first time since 2008 ,1
153,The only thing more impressive than Jordan  s stretch of sustained health might have been his will to keep playing while sick ,1
154,It resulted in more combined U ,1
155,S ,1
156,losses  nearly 90  000 killed  wounded or captured  than any battle of the war ,1
157,And I think it is critical in this debate to understand that it  s not just inner city kids who are at risk in these situations ,1
158,"He was among 47 people put to death after being convicted of terrorism offences  it said in a statement                                                        
",1
159,We  ve got the pieces  and we  re pretty close to having the pieces in place for a number of years  he said ,1
160,My father has been in and out of care homes and my mother had dementia so I wanted to give something back ,1
161,"We just have to keep putting our hands up  both of us  and put in a good performance                                                        
",1
162,A lady came out to look around my home but she said that we probably wouldn  t be able to get anything bigger ,1
163,President Putin likely knows he will never be regarded as a legitimate partner by any mainstream president of the United States ,1
164,"But the fact remains he is only 26  and at that age you just cannot have the right level of experience                                                    
",1
165,With these  you are often taking them for four months to get the response that  s required which is why people sometimes give up but they shouldn  t ,1
166,The ballot to fill a legislative seat in Canada next month includes none of the above  and it  s a real person ,1
167,Six years into a President  s term   people get tired of that person  s leadership  he said ,1
168,Djokovic in this form projects the idea that he sometimes knows where Murray  s next shot was going before even Murray did ,1
169,Now  as Norway is not a member of the EU  it has no say over these or any other EU rules ,1
170,This is an important transition for any economy  it just happens to be the world  s second largest economy ,1
171,David Cameron said the report  s findings were  shocking  but refused to take tough action against Russia  saying Britain could not afford to lose Moscow  s help in Syria ,1
172,And sometimes I feel a little bad for taking advantage of it  but you know it  s worth it ,1
173,It is unusual to see a female subject dressed in service clothes  she is wearing the uniform of the Scottish Women  s Hospital ,1
174,And that  s human nature  but the reality is  he has not committed a crime in Mexico ,1
175,And that race  for me  gave birth to a new rule  The candidate having the most fun usually wins ,1
176,No 10 is officially happy to wait until 2017 to hold the referendum  but George Osborne is understood to determined to ensure that the referendum is held no later than 26 June ,1
177,Carter also announced that the 26 nations in the anti  ISIS coalition  as well as Iraq  will meet in Brussels next month to continue the talks ,1
178,The migrants take the first day from the community but the second day  if we make it possible  they bring to the community ,1
179,However  it wasn  t really until after having my three sons that I felt the  need  to have a glass of wine most nights with dinner ,1
180,When the pair met at the private members club he admitted to being  fairly drunk  having attended a birthday dinner with friends earlier in the evening ,1
181,They grabbed our arms  pushed our clothes away  and tried to get between our legs or I don  t know where ,1
182,It  s been maybe eight years that I  ve had any sort of idea of what my children look like ,1
183,Kim left a wife and two daughters behind in China  with whom he has had no contact since his detention ,1
184,"We have him until the end of the season and it  s up to him to show that he wants to stay longer                                                
",1
185,We are taking care of our passengers and crew  and we are working on next steps to get them safely to their destination  American Airlines said in a statement ,1
186,This is certainly true up to a certain age  but get past that and your heart can only keep going for so long ,1
187,Britain  s oil and gas fields have increased production for the first time in more than 15 years  figures show ,1
188,Cruz  though  doubled down on comments that he  d  carpet bomb  the enemy  saying that  s what was done in the first Iraq war ,1
189,I  ve probably got an opinion and I  d probably get in trouble for saying it  so I  ll keep it to myself ,1
190,Sydney teenager Daniel Christie was attacked on New Year  s Eve  2013  dying in hospital 11 days later ,1
191,"I really like what I see in him so far  I like his drive and determination  and those are things that you can  t teach somebody                                      
",1
192,It  s very complicated  we can  t take it into a port in its current state  it  s much too big  he said ,1
193,He said Dylan had been hit by a car but when I ran outside I could not find him or hear him ,1
194,China  in many ways  is a much stronger and more confident place than it was years ago  when the country  s economic boom was in full swing ,1
195,"The three  time tour winner is playing the tour on past champion status only  fighting to earn a full card after a poor 2014  15 season                                      
",1
196,If you  re saying to me that too much power sat in the hands of too few people and the walls were too high then yes  you  re right  he told the BBC last month ,1
197,Their investments are also saving people thousands of dollars a year  despite claims by the fossil fuel industry that clean energy would cost more ,1
198,Of course  some people will say that any woman who had a long affair with her married boss must take a share of the blame for what came afterwards ,1
199,A daughter of Britain  s most married man has pleaded with his ninth wife  to  be to  run  run quick  after he proposed despite still being married to his eighth wife ,1
200,Swedish police found the contract on his computer after he was arrested on September 18 last year  when he and the victim visited a police station with the intention to stop the search for her ,1
201,We want to sit down with them to get their thoughts on what  s worked  but also what we can improve ,1
202,Of the 18 committee members at a recent meeting to discuss the government  s handling of pain issues  at least five had drug  industry connections ,1
203,When compared to 2013  14  there was a significant increase in the number of emergency calls and also the time to handle these calls ,1
204,All of us are interested in fighting crime  I  m very proud of the fact that violent crime rates have continued to go down during the course of my presidency ,1
205,"Every time we have an opportunity to prove who we are and take another step in the journey  we  re ready for it                                              
",1
206,We knew it would be difficult for Manchester United because they have to fight for the title  he said ,1
207,A search was then carried out at a property in the town and a further  10  000 was seized ,1
208,We all know which player he is and how hard it is to find any solution against him  to somehow stop the fight and feel better on the court ,1
209,Iowa traditionally goes first out of the 50 states  in January  making a win there important for momentum ,1
210,We know you  re in a better place far from pain  but I know how much you mean to me and how much I love you ,1
211,As I came round  they told me my baby was a little boy but he hadn  t made it ,1
212,He said the best internal estimates put the number at around 120  000  less than a third of what  s needed to secure the country ,1
213,But it was all too much for her 16  year  old son who struggled to come to terms with what his father had done and six weeks later  took his own life ,1
214,She thinks she  s doing good for people  and she  s hurt  she feels abused  if her authority is questioned ,1
215,We  ve discussed it with players and we  re going through discussions with the NRL so that  s the next course of action ,1
216,Earlier this week  former prime minister Tony Blair told French radio that if the UK voted to leave the EU  Scotland would vote to leave the UK ,1
217,Two years ago  Italian officials said the group is linked to drug trafficking in South and Central America  Canada and the United States ,1
218,A Virginia couple was surprised after receiving a letter their son sent almost 11 years ago while serving in Iraq ,1
219,The man was known to traffic police for once being caught driving without a licence  but had never been of any interest to anti  terrorist officers ,1
220,Even if your holiday didn  t meet expectations  you still may not be happy about getting back to work and away from your crazy family ,1
221,No matter which brand I buy or how much I spend  I can  t seem to get my make  up to last all day ,1
222,Another migrant from Afghanistan also told the BBC team there had been a murder in the area on the previous night ,1
223,The broadcaster has a fine track record in covering major sporting events  as we saw recently with the Rugby World Cup ,1
224,That programme should be particularly focused on those with family and community ties already here  and the language skills that make them want to come to the UK ,1
225,Her phone and computer have been seized by investigators as they try to piece together her last movements  Italian media said ,1
226,I learned my problems were as much down to me not managing my illness as they were from the cat  as I had stopped taking medication when I was fit and young because I wasn  t suffering ,1
227,The ruling conservative Law and Justice party  which came to power in October after eight years in opposition  is also under fire for another piece of legislation ,1
228,December retail sales data will be released on Friday  with consensus forecasts pointing to a 0 ,1
229,4 per cent rise  steady from the previous month as the Australian consumer continues to spend in solid  if not spectacular  fashion ,1
230,The four men gang  rape her  destroy her novel and leave one to murder her  but he cannot go through with it ,1
231,"I think its success is down to how easy its systems are to use  it has really focused on that                                                      
",1
232,I wasn  t able to sleep alone for a long time and had to have the light on in my bedroom throughout every night ,1
233,The trio did the same thing in 2012  saying it  s a great opportunity to meet national  level politicians  one of whom will become US president ,1
234,He keep enjoying the sport  kept showing the passion on court every time he was healthy enough to keep on competing and that  s something great ,1
235,With one week left to go in the regular season  14 out of 32 NFL teams are still in the running to win Super Bowl 50 ,1
236,Police said there were five men  and one pointed a gun at the father and told him to leave ,1
237,I can always go and work in an office for the rest of my life  but only a certain amount of time I can play tennis ,1
238,The 26  year  old from Brisbane was forced to come from behind to score an impressive 6  7  5  7  6  4  7  6  8  6  win ,1
239,The couple make the trip from Canberra nearly every weekend in summer  and say they wouldn  t think of leaving the dogs behind ,1
240,When he  s in town and we have a Sunday morning free  he always wants to go to church and he wants nobody to know about it ,1
241,Many are also attracted by the fact that he can finance his bid for office without the help of wealthy donors ,1
